id,name,buildingId,floorId
14559,g118d-113g1-clwa-g118d,10093,13340
14560,g118c-113g1-clwb-g118c,10093,13340
14561,g118d-113g1-clwb-g118d,10093,13340
14562,g118d-113g1-clwc-g118d,10093,13340
14563,g118d-113g1-clwd-g118d,10093,13340
14564,a123-113a1-clwa-a123,10093,13341
14565,a126-113a1-clwa-a126,10093,13341
14566,a130-113a1-clwa-a130,10093,13341
14567,a130-113a1-clwb-a130,10093,13341
14568,a131-113a1-clwa-a131,10093,13341
14569,a132-113a1-clwa-a132,10093,13341
14570,a132-113a1-clwb-a132,10093,13341
14571,-c133a-113c1-clwa-c133a,10093,13342
14572,a134a-113a1-clwa-a134a,10093,13341
14573,a134b-113a1-clwa-a134b,10093,13341
14574,a134c-113a1-clwa-a134c,10093,13341
14575,a134d-113a1-clwa-a134d,10093,13341
14576,a134a-113a1-clwb-a134a,10093,13341
14577,a134b-113a1-clwb-a134b,10093,13341
14578,a138hall-113a1-clwa-a138hall,10093,13341
14579,c138-113c1-clwa-c138,10093,13342
14580,b200-113b2-clwa-b200,10093,13223
14581,c200-113c2-clwa-c200,10093,13342
14582,-c200b-113c2-clwa-c200b,10093,13342
14583,c200-113c2-clwb-c200,10093,13342
14584,c200-113c2-clwc-c200,10093,13342
14585,b203-113b2-clwa-b203,10093,13223
14586,b203-113b2-clwb-b203,10093,13223
14587,b203-113b2-clwc-b203,10093,13223
14588,g203-113g2-clwa-g203,10093,13340
14589,g205-113g2-clwa-g205,10093,13340
14590,g205-113g2-clwb-g205,10093,13340
14591,g205-113g2-clwc-g205,10093,13340
14592,g205-113g2-clwd-g205,10093,13340
14593,c211-113c2-clwa-c211,10093,13342
14594,c214-113c2-clwa-c214,10093,13342
14595,c215-113c2-clwa-c215,10093,13342
14596,c215-113c2-clwb-c215,10093,13342
14597,a219a-113a2-clwa-a219a,10093,13341
14598,a219a-113a2-clwb-a219a,10093,13341
14599,a220-113a2-clwa-a220,10093,13341
14600,a220-113a2-clwb-a220,10093,13341
14601,a220-113a2-clwc-a220,10093,13341
14602,a220-113a2-clwd-a220,10093,13341
14603,a220-113a2-clwe-a220,10093,13341
14604,a220-113a2-clwf-a220,10093,13341
14605,g221-113g2-clwa-g221,10093,13340
14606,a228-113a2-clwa-a228,10093,13341
14607,a228-113a2-clwb-a228,10093,13341
14608,a229-113a2-clwa-a229,10093,13341
14609,a229-113a2-clwb-a229,10093,13341
14610,a229-113a2-clwc-a229,10093,13341
14611,a229-113a2-clwd-a229,10093,13341
14612,a229-113a2-clwe-a229,10093,13341
